title1,title2,address1,address2,semantic_similarity
Rendezvous II,Allegro ,1308 Drury Lane ,1412 Spruce ,0.38954255
Allegro ,Rendezvous II,1412 Spruce ,1308 Drury Lane ,0.38954246
Dewey's Coffee Shop,Parson's Table ,13th & Chancellor,26 S. Front St. ,0.3891571
Dewey's Coffee Shop,Parson's Table ,13th & Chancellor,26 S. Front St. ,0.3891571
Dewey's Coffee Shop,Parson's Table ,17th & Chancellor,26 S. Front St. ,0.3891571
Dewey's Coffee Shop,Parson's Table ,17th & Chancellor,26 S. Front St. ,0.3891571
Parson's Table ,Dewey's Coffee Shop,26 S. Front St. ,13th & Chancellor,0.3891571
Parson's Table ,Dewey's Coffee Shop,26 S. Front St. ,17th & Chancelor,0.3891571
Dewey's Coffee Shop,Parson's Table ,13th & Chancellor,26 S. Front St. ,0.3891571
Dewey's Coffee Shop,Parson's Table ,17th & Chancelor,26 S. Front St. ,0.3891571
Forty-Six Club ,Track Seven ,46 S 52nd St. ,1226 Filbert ,0.3885323
Forty-Six Club ,Track Seven ,46 S 52nd St. ,1226 Filbert ,0.3885323
Forty-Six Club ,Track Seven ,46 S. 52nd St. ,1226 Filbert ,0.3885323
Forty-Six Club ,Track Seven ,46 S. 52nd St. ,1226 Filbert ,0.3885323
Track Seven,Forty-Six Club ,1226 Filbert ,46 S 52nd St. ,0.38853222
Track Seven,Forty-Six Club ,1226 Filbert ,46 S. 52nd St. ,0.38853222
Track Seven ,Forty-Six Club ,1226 Filbert ,46 S 52nd St. ,0.38853222
Track Seven ,Forty-Six Club ,1226 Filbert ,46 S. 52nd St. ,0.38853222
Drury Lane ,Varsity Room,1304 Drury Lane ,Quince & Walnut,0.38746834
Drury Lane ,Varsity Room,1304 Drury Lane ,Quince & Walnut,0.38746834
Drury Lane,Varsity Room,1308 Drury Lane,Quince & Walnut,0.38746822
Drury Lane ,Varsity Room,1308 Drury ,Quince & Walnut,0.38746822
P.B.L. Club ,SK Bar ,204 S. Quince ,2 S. Mole St. ,0.38727477
P.B.L Club ,SK Bar ,204 S. Quince ,2 S. Mole St. ,0.38727477
PBL Club ,SK Bar ,204 Quince ,2 S. Mole St. ,0.38727468
Dewey's Coffee Shop,Teddy's Bar ,13th & Chancellor,418 S. 18th St. ,0.3869217
Dewey's Coffee Shop,Teddy's bar,13th & Chancellor,Broad & Olney,0.3869217
Dewey's Coffee Shop,Teddy's Bar ,13th & Chancellor,418 S. 18th St. ,0.3869217
Dewey's Coffee Shop,Teddy's Bar ,17th & Chancellor,418 S. 18th St. ,0.3869217
Dewey's Coffee Shop,Teddy's bar,17th & Chancellor,Broad & Olney,0.3869217
Dewey's Coffee Shop,Teddy's Bar ,17th & Chancellor,418 S. 18th St. ,0.3869217
Dewey's Coffee Shop,Teddy's bar,13th & Chancellor,Broad & Olney,0.3869217
Dewey's Coffee Shop,Teddy's Bar ,13th & Chancellor,418 S. 18th St. ,0.3869217
Dewey's Coffee Shop,Teddy's bar,17th & Chancelor,Broad & Olney,0.3869217
Dewey's Coffee Shop,Teddy's Bar ,17th & Chancelor,418 S. 18th St. ,0.3869217
Dewey's Coffee Shop,Teddy's Bar ,13th & Chancellor,418 S. 18th St. ,0.38692164
Dewey's Coffee Shop,Teddy's Bar ,17th & Chancelor,418 S. 18th St. ,0.38692164
Attic ,Varsity Room,5710 Germantown,Quince & Walnut,0.38586536
Attic ,Varsity Room,5710 Germantown,Quince & Walnut,0.3858653
Attic ,Varsity Room,5710 Germantown ,Quince & Walnut,0.3858653
Attic ,Varsity Room,5710 Germantown ,Quince & Walnut,0.3858653
Pirate's Den,P.B.L Club ,210 S. Camac ,204 S. Quince ,0.38356507
Pirate's Den,PBL Club ,210 S. Camac ,204 Quince ,0.38356507
P.B.L. Club ,Pirate's Den,204 S. Quince ,210 S. Camac ,0.38356498
Club Thirteen ,Parker Hotel Bar,214 S. 13th St. ,13th & Spruce,0.382872
Club Thirteen ,Parker Hotel Bar,214 S. 13th St. ,13th & Spruce,0.382872
Club Thirteen ,Parker Hotel Bar,214 S. 13th St. ,13th & Spruce,0.3828719
Parker Hotel Bar,Club Thirteen ,13th & Spruce,214 S. 13th St. ,0.3828719
Parker Hotel Bar,Club Thirteen ,13th & Spruce,214 S. 13th St. ,0.3828719
Parker Hotel Bar,Club Thirteen ,13th & Spruce,214 S. 13th St. ,0.3828719
Parker Hotel Bar,Club Thirteen ,13th & Spruce,214 S. 13th St. ,0.3828719
Parker Hotel Bar,Club Thirteen ,13th & Spruce,214 S. 13th St. ,0.3828719
Parson's Table ,The Penrose Club ,26 S. Front St. ,1415 Locust ,0.38209388
Parson's Table ,The Penrose Club ,26 S. Front St. ,1415 Locust ,0.38209388
Indian Queen ,My Sisters,1725 J. F. Kennedy Blvd. ,,0.38204727
Indian Queen ,My Sisters,1725 J. F. Kennedy Blvd. ,,0.38204715
Allegro ,Track Seven ,1412 Spruce ,1226 Filbert ,0.38179842
Allegro ,Track Seven ,1412 Spruce ,1226 Filbert ,0.38179842
Allegro ,Track Seven ,1412 Spruce ,1226 Filbert ,0.38179842
Track Seven,Allegro ,1226 Filbert ,1412 Spruce ,0.38179842
Track Seven,Allegro ,1226 Filbert ,1412 Spruce ,0.38179842
Track Seven,Allegro ,1226 Filbert ,1412 Spruce ,0.38179842
Allegro ,Track Seven ,1412 Spruce ,1226 Filbert ,0.38179842
Allegro ,Track Seven ,1412 Spruce ,1226 Filbert ,0.38179842
Allegro ,Track Seven ,1412 Spruce ,1226 Filbert ,0.38179842
Allegro ,Track Seven ,1412 Spruce ,1226 Filbert ,0.38179842
Allegro ,Track Seven ,1412 Spruce ,1226 Filbert ,0.38179842
Allegro ,Track Seven ,1412 Spruce ,1226 Filbert ,0.38179842
Allegro ,Track Seven,1412 Spruce ,1226 Filbert ,0.38179824
Allegro ,Track Seven ,1412 Spruce ,1226 Filbert ,0.38179824
Track Seven ,Allegro ,1226 Filbert ,1412 Spruce ,0.38179824
Track Seven ,Allegro ,1226 Filbert ,1412 Spruce ,0.38179824
C.R. Club ,Parker Hotel Bar,6400 Market ,13th & Spruce,0.37985808
C.R. Club ,Parker Hotel Bar,6400 Market ,13th & Spruce,0.3798579
Two-Forty-Seven ,Track Seven ,247 17th St. ,1226 Filbert ,0.3794006
Two-Forty-Seven ,Track Seven ,247 17th St. ,1226 Filbert ,0.3794006
Two-Forty-Seven ,Track Seven ,247 17th St. ,1226 Filbert ,0.3794006
Track Seven,Two-Forty-Seven ,1226 Filbert ,247 17th St. ,0.37940043
Drury Lane ,Westbury Hotel Bar ,1304 Drury Lane ,217 S. 15th St. ,0.37884995
Drury Lane ,Westbury Hotel Bar ,1304 Drury Lane ,271 S. 15th St. ,0.37884995
Westbury Hotel Bar ,Drury Lane,217 S. 15th St. ,1308 Drury Lane,0.37884995
Westbury Hotel Bar ,Drury Lane ,217 S. 15th St. ,1308 Drury ,0.37884995
Westbury Hotel Bar ,Drury Lane,271 S. 15th St. ,1308 Drury Lane,0.37884995
Westbury Hotel Bar ,Drury Lane ,271 S. 15th St. ,1308 Drury ,0.37884995
Drury Lane ,Westbury Hotel Bar ,1304 Drury Lane ,271 S. 15th St. ,0.37884983
Westbury Hotel Bar ,Drury Lane ,217 S. 15th St. ,1304 Drury Lane ,0.37884983
Drury Lane ,Westbury Hotel Bar ,1304 Drury Lane ,271 S. 15th St. ,0.37884983
Drury Lane ,Westbury Hotel Bar ,1304 Drury Lane ,271 S. 15th St. ,0.37884983
Drury Lane,Westbury Hotel Bar ,1308 Drury Lane,271 S. 15th St. ,0.37884983
Drury Lane ,Westbury Hotel Bar ,1308 Drury ,271 S. 15th St. ,0.37884983
Teddy's Bar ,Peyton Place ,418 S. 18th St. ,1308 Drury Lane ,0.3781091
Peyton Place ,Teddy's bar,1308 Drury Lane ,Broad & Olney,0.37810895
Peyton Place ,Teddy's Bar ,1308 Drury Lane ,418 S. 18th St. ,0.37810895
P.B.L. Club ,Parker Hotel Bar,204 S. Quince ,13th & Spruce,0.3776893
P.B.L. Club ,Parker Hotel Bar,204 S. Quince ,13th & Spruce,0.3776893
Parker Hotel Bar,P.B.L Club ,13th & Spruce,204 S. Quince ,0.3776893
Parker Hotel Bar,PBL Club ,13th & Spruce,204 Quince ,0.3776893
P.B.L Club ,Parker Hotel Bar,204 S. Quince ,13th & Spruce,0.3776893
Parker Hotel Bar,PBL Club ,13th & Spruce,204 Quince ,0.3776893
Parson's Table ,Penrose Club ,26 S. Front St. ,1415 Locust ,0.37753066
Parson's Table ,Penrose Club ,26 S. Front St. ,1415 Locust ,0.3775306
Parson's Table ,Penrose Club ,26 S. Front St. ,1415 Locust,0.37753057
Parson's Table ,Penrose Club ,26 S. Front St. ,1415 Locust ,0.37753057
Penrose Club ,Parson's Table ,1415 Locust,26 S. Front St. ,0.37753057
Parson's Table ,Penrose Club ,26 S. Front St. ,1415 Locust ,0.37753057
Drury Lane ,Penrose Club ,1304 Drury Lane ,1415 Locust ,0.37715015
Penrose Club ,Drury Lane,1415 Locust ,1308 Drury Lane,0.37715015
Penrose Club ,Drury Lane ,1415 Locust ,1308 Drury ,0.37715015
Drury Lane ,Penrose Club ,1304 Drury Lane ,1415 Locust ,0.37715012
Drury Lane ,Penrose Club ,1304 Drury Lane ,1415 Locust ,0.3771501
Penrose Club ,Drury Lane ,1415 Locust,1304 Drury Lane ,0.3771501
Penrose Club ,Drury Lane,1415 Locust,1308 Drury Lane,0.3771501
Penrose Club ,Drury Lane ,1415 Locust,1308 Drury ,0.3771501
Drury Lane ,Penrose Club ,1304 Drury Lane ,1415 Locust ,0.3771501
Drury Lane ,Penrose Club ,1304 Drury Lane ,1415 Locust,0.37715
Drury Lane,Penrose Club ,1308 Drury Lane,1415 Locust ,0.37715
Drury Lane ,Penrose Club ,1308 Drury ,1415 Locust ,0.37715
R.D. Club,Forrest Bar ,13th & Locust,206 S. Quince ,0.37643898
R.D. Club,Forrest Bar ,13th & Locust,206 S. Quince ,0.37643898
R.D. Club,Forrest Bar ,13th & Locust,206 S. Quince ,0.37643898
Forrest Bar ,R.D. Club,206 S. Quince ,13th & Locust,0.3764389
Attic ,Electric Factory ,5710 Germantown,2201 Arch ,0.37503117
Attic ,Electric Factory ,5710 Germantown ,2201 Arch ,0.37503117
Attic ,Electric Factory ,5710 Germantown ,2201 Arch ,0.37503117
Attic ,Electric Factory ,5710 Germantown,2201 Arch ,0.37503105
V.I.P. Club,Westbury Hotel ,,271 S 15th St. ,0.37489247
V.I.P Club,Westbury Hotel ,,271 S 15th St. ,0.37489247
C.R. Club ,Westbury Hotel Bar ,6400 Market ,217 S. 15th St. ,0.3741566
C.R. Club ,Westbury Hotel Bar ,6400 Market ,271 S. 15th St. ,0.3741566
C.R. Club ,Westbury Hotel Bar ,6400 Market ,271 S. 15th St. ,0.3741565
Rittenhouse Square,Peyton Place ,,1308 Drury Lane ,0.37316716
Foster House ,Rittenhouse Square,207 S. Quince ,,0.37052596
Drury Lane ,Parson's Table ,1304 Drury Lane ,26 S. Front St. ,0.36779806
Drury Lane ,Parson's Table ,1304 Drury Lane ,26 S. Front St. ,0.36779806
Drury Lane ,Parson's Table ,1304 Drury Lane ,26 S. Front St. ,0.3677979
Parson's Table ,Drury Lane ,26 S. Front St. ,1304 Drury Lane ,0.3677979
Parson's Table ,Drury Lane,26 S. Front St. ,1308 Drury Lane,0.3677979
Parson's Table ,Drury Lane ,26 S. Front St. ,1308 Drury ,0.3677979
Parson's Table ,Drury Lane,26 S. Front St. ,1308 Drury Lane,0.3677979
Parson's Table ,Drury Lane ,26 S. Front St. ,1308 Drury ,0.3677979
Baron's Variety Lounge ,Varsity Room,1116 Walnut ,Quince & Walnut,0.36756977
Club Thirteen ,Rendezvous II,214 S. 13th St. ,1308 Drury Lane ,0.36594224
Club Thirteen ,Rendezvous II,214 S. 13th St. ,1308 Drury Lane ,0.36594218
Rendezvous II,Club Thirteen ,1308 Drury Lane ,214 S. 13th St. ,0.36594218
Rendezvous II,Club Thirteen ,1308 Drury Lane ,214 S. 13th St. ,0.36594218
Forty-Six Club ,Varsity Room,46 S 52nd St. ,Quince & Walnut,0.3655626
Forty-Six Club ,Varsity Room,46 S. 52nd St. ,Quince & Walnut,0.3655626
Carey's,Rusty's,23rd & Fairmount,Quince & Walnut,0.36555263
Carey's,Rusty's,23rd & Fairmount,Quince & Walnut,0.36555246
Rittenhouse Square,Westbury Hotel ,,271 S 15th St. ,0.3652638
Allegro ,The Steps,1412 Spruce ,1526 Delaney ,0.36481786
The Steps,Allegro ,1526 Delaney ,1412 Spruce ,0.3648177
The Steps,Allegro ,1526 Delaney ,1412 Spruce ,0.3648177
The Steps,Allegro ,1526 Delaney ,1412 Spruce ,0.3648177
Parker Hotel Bar,Forty-Six Club ,13th & Spruce,46 S 52nd St. ,0.36344618
Parker Hotel Bar,Forty-Six Club ,13th & Spruce,46 S. 52nd St. ,0.36344618
Parker Hotel Bar,Forty-Six Club ,13th & Spruce,46 S 52nd St. ,0.36344618
Parker Hotel Bar,Forty-Six Club ,13th & Spruce,46 S. 52nd St. ,0.36344618
Baron's Variety Lounge ,Rendezvous II,1116 Walnut ,1308 Drury Lane ,0.3634213
Drury Lane,The Penrose Club ,1308 Drury Lane,1415 Locust ,0.36327305
Drury Lane ,The Penrose Club ,1308 Drury ,1415 Locust ,0.36327305
Drury Lane ,The Penrose Club ,1304 Drury Lane ,1415 Locust ,0.36327302
Drury Lane ,The Penrose Club ,1304 Drury Lane ,1415 Locust ,0.36327302
Forrest Bar ,Terminal Bar,206 S. Quince ,Broad & Olney,0.36262488
Forrest Bar ,Terminal Bar,206 S. Quince ,Broad & Olney,0.36262488
Forrest Bar ,Terminal bar,206 S. Quince ,Broad & Olner,0.36262488
Forrest Bar ,Terminal Bar,206 S. Quince ,Broad & Olney,0.36262488
Forrest Bar ,Terminal bar,206 S. Quince ,Broad & Olner,0.36262488
Terminal Bar,Forrest Bar ,Broad & Olney,206 S. Quince ,0.36262488
Terminal Bar,Forrest Bar ,Broad & Olney,206 S. Quince ,0.36262488
Forrest Bar ,Terminal Bar,206 S. Quince ,Broad & Olney,0.3626248
Forrest Bar ,Terminal Bar,206 S. Quince ,Broad & Olney,0.3626248
Forrest Bar ,Terminal bar,206 S. Quince ,Broad & Olner,0.3626248
Forrest Bar ,Terminal Bar,206 S. Quince ,Broad & Olney,0.3626248
Forrest Bar ,Terminal bar,206 S. Quince ,Broad & Olner,0.3626248
R.D. Club,Rendezvous II,13th & Locust,1308 Drury Lane ,0.35978568
V.I.P. Club,Teddy's Bar ,,418 S. 18th St. ,0.35925078
V.I.P. Club,Teddy's bar,,Broad & Olney,0.35925078
V.I.P. Club,Teddy's Bar ,,418 S. 18th St. ,0.35925078
Teddy's Bar ,V.I.P Club,418 S. 18th St. ,,0.35925078
V.I.P Club,Teddy's bar,,Broad & Olney,0.35925078
V.I.P Club,Teddy's Bar ,,418 S. 18th St. ,0.35925078
Attic ,Midway,5710 Germantown,256 S. 12th St. ,0.35759327
Attic ,Midway ,5710 Germantown ,256 S. 12th St. ,0.35759327
Midway ,Attic ,256 S. 12th St. ,5710 Germantown ,0.35759327
Attic ,Midway ,5710 Germantown,256 S. 12th St. ,0.3575932
Attic ,Midway ,5710 Germantown,256 S. 12th St. ,0.3575932
Attic ,Midway ,5710 Germantown,256 S. 12th St. ,0.3575932
Midway,Attic ,256 S. 12th St. ,5710 Germantown ,0.3575932
Midway,Attic ,256 S. 12th St. ,5710 Germantown ,0.3575932
Attic ,Midway ,5710 Germantown ,256 S. 12th St. ,0.3575932
Attic ,Midway ,5710 Germantown ,256 S. 12th St. ,0.3575932
Attic ,Midway ,5710 Germantown ,256 S. 12th St. ,0.3575932
Attic ,Midway ,5710 Germantown ,256 S. 12th St. ,0.3575932
Midway ,Attic ,256 S. 12th St. ,5710 Germantown,0.35759318
Midway,Attic ,256 S. 12th St. ,5710 Germantown,0.35759315
Attic ,Midway ,5710 Germantown,256 S. 12th St. ,0.35759315
Attic ,Midway ,5710 Germantown,256 S. 12th St. ,0.35759315
Attic ,Club Thirteen ,5710 Germantown,214 S. 13th St. ,0.3566726
Attic ,Club Thirteen ,5710 Germantown,214 S. 13th St. ,0.3566726
Attic ,Club Thirteen ,5710 Germantown,214 S. 13th St. ,0.3566726
Club Thirteen ,Attic ,214 S. 13th St. ,5710 Germantown ,0.3566726
Club Thirteen ,Attic ,214 S. 13th St. ,5710 Germantown ,0.3566726
Attic ,Club Thirteen ,5710 Germantown ,214 S. 13th St. ,0.3566726
Attic ,Club Thirteen ,5710 Germantown ,214 S. 13th St. ,0.3566726
Attic ,Club Thirteen ,5710 Germantown ,214 S. 13th St. ,0.3566726
Attic ,Club Thirteen ,5710 Germantown ,214 S. 13th St. ,0.3566726
Club Thirteen ,Attic ,214 S. 13th St. ,5710 Germantown,0.35667259
Attic ,Club Thirteen ,5710 Germantown,214 S. 13th St. ,0.35667259
Attic ,Club Thirteen ,5710 Germantown,214 S. 13th St. ,0.35667259
Attic ,Club Thirteen ,5710 Germantown,214 S. 13th St. ,0.35667253
Attic ,Club Thirteen ,5710 Germantown ,214 S. 13th St. ,0.35667253
Club Thirteen ,Attic ,214 S. 13th St. ,5710 Germantown ,0.35667253
Club Thirteen ,Attic ,214 S. 13th St. ,5710 Germantown,0.35667253
P.B.L. Club ,Parson's Table ,204 S. Quince ,26 S. Front St. ,0.35641634
P.B.L Club ,Parson's Table ,204 S. Quince ,26 S. Front St. ,0.35641634
P.B.L. Club ,Parson's Table ,204 S. Quince ,26 S. Front St. ,0.3564161
Parson's Table ,P.B.L Club ,26 S. Front St. ,204 S. Quince ,0.3564161
Parson's Table ,PBL Club ,26 S. Front St. ,204 Quince ,0.3564161
Parson's Table ,PBL Club ,26 S. Front St. ,204 Quince ,0.3564161
Parker Hotel Bar,Penrose Club ,13th & Spruce,1415 Locust ,0.35418034
Parker Hotel Bar,Penrose Club ,13th & Spruce,1415 Locust ,0.3541803
Penrose Club ,Parker Hotel Bar,1415 Locust,13th & Spruce,0.3541803
Parker Hotel Bar,Penrose Club ,13th & Spruce,1415 Locust ,0.3541803
Parker Hotel Bar,Penrose Club ,13th & Spruce,1415 Locust ,0.35418022
Parker Hotel Bar,Penrose Club ,13th & Spruce,1415 Locust,0.35418013
Parson's Table ,Varsity Room,26 S. Front St. ,Quince & Walnut,0.35377473
Parson's Table ,Varsity Room,26 S. Front St. ,Quince & Walnut,0.35377473
Carey's,Teddy's Bar ,23rd & Fairmount,418 S. 18th St. ,0.35359702
Carey's,Teddy's bar,23rd & Fairmount,Broad & Olney,0.35359702
Carey's,Teddy's Bar ,23rd & Fairmount,418 S. 18th St. ,0.35359702
V.I.P. Club,Attic ,,5710 Germantown ,0.35344473
V.I.P. Club,Attic ,,5710 Germantown ,0.35344473
Attic ,V.I.P Club,5710 Germantown ,,0.35344473
V.I.P Club,Attic ,,5710 Germantown ,0.35344473
Attic ,V.I.P. Club,5710 Germantown,,0.3534447
Attic ,V.I.P Club,5710 Germantown,,0.3534447
V.I.P. Club,Attic ,,5710 Germantown,0.3534447
V.I.P Club,Attic ,,5710 Germantown,0.3534447
Drury Lane,Peyton Place ,1308 Drury Lane,1308 Drury Lane ,0.3532685
Drury Lane ,Peyton Place ,1308 Drury ,1308 Drury Lane ,0.3532685
Drury Lane ,Peyton Place ,1304 Drury Lane ,1308 Drury Lane ,0.35326836
Drury Lane ,Peyton Place ,1304 Drury Lane ,1308 Drury Lane ,0.35326836
Parson's Table ,Dewey's,26 S. Front St. ,17th & Chancellor,0.3529308
Parson's Table ,Deweys,26 S. Front St. ,Chancelor at 17th St.,0.3529308
Parson's Table ,Dewey's,26 S. Front St. ,17th & Chancellor,0.3529308
Parson's Table ,Deweys,26 S. Front St. ,Chancelor at 17th St.,0.3529308
Dewey's,Teddy's bar,17th & Chancellor,Broad & Olney,0.35280487
Dewey's,Teddy's Bar ,17th & Chancellor,418 S. 18th St. ,0.35280487
Deweys,Teddy's bar,Chancelor at 17th St.,Broad & Olney,0.35280487
Deweys,Teddy's Bar ,Chancelor at 17th St.,418 S. 18th St. ,0.35280487
Teddy's Bar ,Dewey's,418 S. 18th St. ,17th & Chancellor,0.35280478
Teddy's Bar ,Deweys,418 S. 18th St. ,Chancelor at 17th St.,0.35280478
C.R. Club ,Ritz Bar,6400 Market ,13th near Market,0.35101643
C.R. Club ,Ritz Bar,6400 Market ,13th near Market,0.35101628
Baron's Variety Lounge ,Forty-Six Club ,1116 Walnut ,46 S 52nd St. ,0.35038835
Baron's Variety Lounge ,Forty-Six Club ,1116 Walnut ,46 S. 52nd St. ,0.35038835
Carey's,Pirate's Den,23rd & Fairmount,210 S. Camac ,0.34996665
Pirate's Den,V.I.P. Club,210 S. Camac ,,0.3497173
Pirate's Den,V.I.P Club,210 S. Camac ,,0.3497173
Allegro ,Parson's Table ,1412 Spruce ,26 S. Front St. ,0.3495592
Parson's Table ,Allegro ,26 S. Front St. ,1412 Spruce ,0.3495592
Parson's Table ,Allegro ,26 S. Front St. ,1412 Spruce ,0.3495592
Parson's Table ,Allegro ,26 S. Front St. ,1412 Spruce ,0.3495592
Allegro ,Parson's Table ,1412 Spruce ,26 S. Front St. ,0.3495591
Allegro ,Parson's Table ,1412 Spruce ,26 S. Front St. ,0.3495591
Parson's Table ,Allegro ,26 S. Front St. ,1412 Spruce ,0.3495591
Parson's Table ,Allegro ,26 S. Front St. ,1412 Spruce ,0.3495591
Allegro ,Frank's ,1412 Spruce ,347 S. 13th ,0.34707242
Frank's ,Allegro ,347 S. 13th ,1412 Spruce ,0.34707236
Frank's ,Allegro ,347 S. 13th ,1412 Spruce ,0.34707236
Frank's ,Allegro ,347 S. 13th ,1412 Spruce ,0.34707236
Frank's ,Peyton Place ,347 S. 13th ,1308 Drury Lane ,0.346894
Penrose Club ,Westbury Hotel ,1415 Locust,271 S 15th St. ,0.34514278
Penrose Club ,Westbury Hotel ,1415 Locust ,271 S 15th St. ,0.34514278
Penrose Club ,Westbury Hotel ,1415 Locust ,271 S 15th St. ,0.34514278
R.D. Club,Ritz Bar,13th & Locust,13th near Market,0.34509358
R.D. Club,Ritz Bar,13th & Locust,13th near Market,0.34509358
The Penrose Club ,Westbury Hotel ,1415 Locust ,271 S 15th St. ,0.34394968
Carey's,Miss P's ,23rd & Fairmount,418 S. 18th St. ,0.34380314
Club Thirteen ,Teddy's Bar ,214 S. 13th St. ,418 S. 18th St. ,0.34215757
Club Thirteen ,Teddy's bar,214 S. 13th St. ,Broad & Olney,0.34215757
Club Thirteen ,Teddy's Bar ,214 S. 13th St. ,418 S. 18th St. ,0.34215757
Club Thirteen ,Teddy's bar,214 S. 13th St. ,Broad & Olney,0.34215757
Club Thirteen ,Teddy's Bar ,214 S. 13th St. ,418 S. 18th St. ,0.34215757
Teddy's Bar ,Club Thirteen ,418 S. 18th St. ,214 S. 13th St. ,0.34215757
Teddy's Bar ,Club Thirteen ,418 S. 18th St. ,214 S. 13th St. ,0.34215757
Club Thirteen ,Teddy's Bar ,214 S. 13th St. ,418 S. 18th St. ,0.34215748
Club Thirteen ,Teddy's bar,214 S. 13th St. ,Broad & Olney,0.34215748
Club Thirteen ,Teddy's Bar ,214 S. 13th St. ,418 S. 18th St. ,0.34215748
Club Thirteen ,Teddy's bar,214 S. 13th St. ,Broad & Olney,0.34215748
Club Thirteen ,Teddy's Bar ,214 S. 13th St. ,418 S. 18th St. ,0.34215748
Westbury Hotel Bar ,The Penrose Club ,217 S. 15th St. ,1415 Locust ,0.34201515
Westbury Hotel Bar ,The Penrose Club ,271 S. 15th St. ,1415 Locust ,0.34201515
The Penrose Club ,Westbury Hotel Bar ,1415 Locust ,271 S. 15th St. ,0.342015
SK Bar ,Westbury Hotel Bar ,2 S. Mole St. ,271 S. 15th St. ,0.34156808
Westbury Hotel Bar ,SK Bar ,217 S. 15th St. ,2 S. Mole St. ,0.34156805
Westbury Hotel Bar ,SK Bar ,271 S. 15th St. ,2 S. Mole St. ,0.34156805
R.D. Club,Parson's Table ,13th & Locust,26 S. Front St. ,0.34149468
Parson's Table ,R.D. Club,26 S. Front St. ,13th & Locust,0.34149453
C.R. Club ,Rendezvous II,6400 Market ,1308 Drury Lane ,0.34141716
Baron's Variety Lounge ,Club Thirteen ,1116 Walnut ,214 S. 13th St. ,0.34054315
Baron's Variety Lounge ,Club Thirteen ,1116 Walnut ,214 S. 13th St. ,0.34054294
Baron's Variety Lounge ,Club Thirteen ,1116 Walnut ,214 S. 13th St. ,0.34054294
Baron's Variety Lounge ,Club Thirteen ,1116 Walnut ,214 S. 13th St. ,0.34054294
Frank's ,Rusty's,347 S. 13th ,Quince & Walnut,0.34045008
Frank's ,Rusty's,347 S. 13th ,Quince & Walnut,0.34045005
Club Thirteen ,SK Bar ,214 S. 13th St. ,2 S. Mole St. ,0.3403099
Club Thirteen ,SK Bar ,214 S. 13th St. ,2 S. Mole St. ,0.3403099
Club Thirteen ,SK Bar ,214 S. 13th St. ,2 S. Mole St. ,0.34030983
Club Thirteen ,SK Bar ,214 S. 13th St. ,2 S. Mole St. ,0.34030983
Westbury Hotel Bar ,Penrose Club ,217 S. 15th St. ,1415 Locust ,0.34010264
Penrose Club ,Westbury Hotel Bar ,1415 Locust ,271 S. 15th St. ,0.34010264
Penrose Club ,Westbury Hotel Bar ,1415 Locust ,271 S. 15th St. ,0.34010264
Penrose Club ,Westbury Hotel Bar ,1415 Locust,271 S. 15th St. ,0.34010258
Penrose Club ,Westbury Hotel Bar ,1415 Locust ,271 S. 15th St. ,0.34010258
Penrose Club ,Westbury Hotel Bar ,1415 Locust,217 S. 15th St. ,0.34010255
Penrose Club ,Westbury Hotel Bar ,1415 Locust,271 S. 15th St. ,0.34010255
Westbury Hotel Bar ,Penrose Club ,217 S. 15th St. ,1415 Locust ,0.34010255
Westbury Hotel Bar ,Penrose Club ,271 S. 15th St. ,1415 Locust ,0.34010255
Baron's Variety Lounge ,The Penrose Club ,1116 Walnut ,1415 Locust ,0.33935553
Baron's Variety Lounge ,Penrose Club ,1116 Walnut ,1415 Locust ,0.33932096
Baron's Variety Lounge ,Penrose Club ,1116 Walnut ,1415 Locust ,0.33932087
Baron's Variety Lounge ,Penrose Club ,1116 Walnut ,1415 Locust,0.33932072
Parker Hotel Bar,The Penrose Club ,13th & Spruce,1415 Locust ,0.3389774
Parker Hotel Bar,The Penrose Club ,13th & Spruce,1415 Locust ,0.3389774
Midway,Rittenhouse Square,256 S. 12th St. ,,0.33815345
Rittenhouse Square,Midway ,,256 S. 12th St. ,0.33815342
Rittenhouse Square,Midway ,,256 S. 12th St. ,0.33815342
Rittenhouse Square,Midway ,,256 S. 12th St. ,0.33815342
Foster House ,Peyton Place ,207 S. Quince ,1308 Drury Lane ,0.33782196
Allegro ,Baron's Variety Lounge ,1412 Spruce ,1116 Walnut ,0.33748582
Baron's Variety Lounge ,Allegro ,1116 Walnut ,1412 Spruce ,0.3374857
Baron's Variety Lounge ,Allegro ,1116 Walnut ,1412 Spruce ,0.3374857
Baron's Variety Lounge ,Allegro ,1116 Walnut ,1412 Spruce ,0.3374857
Teddy's Bar ,Varsity Room,418 S. 18th St. ,Quince & Walnut,0.33692166
Teddy's bar,Varsity Room,Broad & Olney,Quince & Walnut,0.33692163
Teddy's Bar ,Varsity Room,418 S. 18th St. ,Quince & Walnut,0.33692163
R.D. Club,Varsity Room,13th & Locust,Quince & Walnut,0.3368174
Baron's Variety Lounge ,Teddy's Bar ,1116 Walnut ,418 S. 18th St. ,0.3364052
Baron's Variety Lounge ,Teddy's bar,1116 Walnut ,Broad & Olney,0.3364052
Baron's Variety Lounge ,Teddy's Bar ,1116 Walnut ,418 S. 18th St. ,0.3364052
My Sisters,Mystique,,1418 Spruce ,0.33572644
