title1,title2,address1,address2,semantic_similarity
Club Thirteen ,Penrose Club ,214 S. 13th St. ,1415 Locust,0.58149135
Club Thirteen ,Penrose Club ,214 S. 13th St. ,1415 Locust ,0.58149135
Club Thirteen ,Penrose Club ,214 S. 13th St. ,1415 Locust ,0.58149135
Club Thirteen ,V.I.P. Club,214 S. 13th St. ,,0.57905036
Club Thirteen ,V.I.P Club,214 S. 13th St. ,,0.57905036
V.I.P. Club,Club Thirteen ,,214 S. 13th St. ,0.57905036
V.I.P. Club,Club Thirteen ,,214 S. 13th St. ,0.57905036
V.I.P Club,Club Thirteen ,,214 S. 13th St. ,0.57905036
V.I.P Club,Club Thirteen ,,214 S. 13th St. ,0.57905036
V.I.P. Club,Club Thirteen ,,214 S. 13th St. ,0.5790501
Club Thirteen ,V.I.P Club,214 S. 13th St. ,,0.5790501
R.D. Club,P.B.L Club ,13th & Locust,204 S. Quince ,0.5776192
R.D. Club,PBL Club ,13th & Locust,204 Quince ,0.5776192
P.B.L. Club ,R.D. Club,204 S. Quince ,13th & Locust,0.57761914
Club Thirteen ,The Penrose Club ,214 S. 13th St. ,1415 Locust ,0.5764089
Club Thirteen ,The Penrose Club ,214 S. 13th St. ,1415 Locust ,0.5764089
Club Thirteen ,The Penrose Club ,214 S. 13th St. ,1415 Locust ,0.57640874
Club Thirteen ,The Penrose Club ,214 S. 13th St. ,1415 Locust ,0.57640874
C.R. Club ,Forty-Six Club ,6400 Market ,46 S 52nd St. ,0.5713746
C.R. Club ,Forty-Six Club ,6400 Market ,46 S. 52nd St. ,0.5713746
Penrose Club ,Forty-Six Club ,1415 Locust ,46 S 52nd St. ,0.56958854
Penrose Club ,Forty-Six Club ,1415 Locust ,46 S. 52nd St. ,0.56958854
Penrose Club ,Forty-Six Club ,1415 Locust,46 S 52nd St. ,0.5695883
Penrose Club ,Forty-Six Club ,1415 Locust,46 S. 52nd St. ,0.5695883
Forty-Six Club ,Penrose Club ,46 S 52nd St. ,1415 Locust ,0.56958824
Forty-Six Club ,Penrose Club ,46 S. 52nd St. ,1415 Locust ,0.56958824
P.B.L. Club ,V.I.P. Club,204 S. Quince ,,0.5586661
P.B.L. Club ,V.I.P Club,204 S. Quince ,,0.5586661
V.I.P. Club,PBL Club ,,204 Quince ,0.5586661
