title,description,streetaddress,type,amenityfeatures,city,state,Year,notes,full.address,lat,lon,geoAddress,unclear_address,status,unique.id
My Sisters,22nd & Arch,,Bars/Clubs,(*-1965-2005),Philadelphia,PA,1971,,NA,39.956035,-75.176234,NA,NA,Verified Location,d-1971-00968
Mystique,,1418 Spruce ,Restaurant,"(R-1965-1989),(PE-1965-1989)",Philadelphia,PA,1971,NA,NA,39.9470823,-75.1655764,NA,NA,Google Verified Location,d-1971-00969
Mystique ,,1418 Spruce ,Restaurant,"(R-1965-1989),(PE-1965-1989)",Philadelphia,PA,1970,NA,NA,39.9470823,-75.1655764,NA,NA,Google Verified Location,d-1970-00917
PBL Club ,,204 Quince ,Bars/Clubs,"(D-1965-2003),(P-1965-1989),(YC-1969-2005),(*-1965-2005)",Philadelphia,PA,1971,NA,NA,39.9483481,-75.1599876,NA,NA,Google Verified Location,d-1971-00970
Penrose Club ,,1415 Locust ,Bars/Clubs,"(P-1965-1989),(D-1965-2003),(YC-1969-2005),(*-1965-2005)",Philadelphia,PA,1971,NA,NA,39.9484535,-75.1658053,NA,NA,Google Verified Location,d-1971-00971
The Penrose Club ,,1415 Locust ,Bars/Clubs,"(P-1965-1989),(D-1965-2003),(YC-1969-2005),(*-1965-2005)",Philadelphia,PA,1970,NA,NA,39.9484535,-75.1658053,NA,NA,Google Verified Location,d-1970-00918
Peyton Place ,(off 13th bet. Chestnut & Sansom),1308 Drury Lane ,Bars/Clubs,,Philadelphia,PA,1971,NA,NA,39.9501811,-75.1624675,NA,NA,Google Verified Location,d-1971-00972
SK Bar ,,2 S. Mole St. ,Bars/Clubs,(RT-1965-1989),Philadelphia,PA,1970,NA,NA,39.9308337,-75.1710637,NA,NA,Google Verified Location,d-1970-00925
Teddy's bar,,Broad & Olney,Bars/Clubs,(*-1965-2005),Philadelphia,PA,1970,,NA,40.039049,-75.144623,NA,NA,Verified Location,d-1970-00926
Teddy's Bar ,,418 S. 18th St. ,Bars/Clubs,(*-1965-2005),Philadelphia,PA,1971,NA,NA,39.9456929,-75.1717317,NA,NA,Google Verified Location,d-1971-00981
Terminal Bar,,Broad & Olney,Bars/Clubs,,Philadelphia,PA,1971,,NA,40.039049,-75.144623,NA,NA,Verified Location,d-1971-00982
Terminal bar,,Broad & Olner,Bars/Clubs,,Philadelphia,PA,1970,,NA,40.039049,-75.144623,NA,NA,Verified Location,d-1970-00927
Track Seven ,,1226 Filbert ,Bars/Clubs,"(M-1965-1989),(RT-1965-1989)",Philadelphia,PA,1970,NA,NA,39.9530175,-75.1602121,NA,NA,Google Verified Location,d-1970-00928
Track Seven ,,1226 Filbert ,Bars/Clubs,"(M-1965-1989),(RT-1965-1989)",Philadelphia,PA,1971,NA,NA,39.9530175,-75.1602121,NA,NA,Google Verified Location,d-1971-00983
USAA ,,204 S. Quine ,Bars/Clubs,"(D-1965-2003),(P-1965-1989)",Philadelphia,PA,1970,NA,NA,39.9525839,-75.1652215,NA,NA,Google Verified Location,d-1970-00932
Varsity Room,,Quince & Walnut,Bars/Clubs,(G-1965-1979),Philadelphia,PA,1971,,NA,39.948794,-75.15974,NA,NA,Verified Location,d-1971-00985
Westbury Hotel Bar ,,271 S. 15th St. ,Bars/Clubs,(*-1965-2005),Philadelphia,PA,1971,NA,NA,39.9474167,-75.166325,NA,NA,Google Verified Location,d-1971-00988
Westbury Hotel ,,271 S 15th St. ,Bars/Clubs,"(YC-1969-2005),(*-1965-2005)",Philadelphia,PA,1970,NA,NA,39.9474167,-75.166325,NA,NA,Google Verified Location,d-1970-00935
